,Date,Hour,Temperature,Humidity,Wind speed,Rainfall,Snowfall,Seasons,Holiday,Functioning Day,Partner 1,Partner 2,Rental Count,Temp_Cat
79,2017-12-04,7,0.2,68,3.4,0.0,0.0,Winter,False,1,215,170,385,Chilly
80,2017-12-04,8,-0.8,69,3.5,0.0,0.0,Winter,False,1,398,926,1324,Freezing
81,2017-12-04,9,-1.5,47,4.2,0.0,0.0,Winter,False,1,348,277,625,Freezing
82,2017-12-04,10,-1.1,40,4.5,0.0,0.0,Winter,False,1,217,201,418,Freezing
83,2017-12-04,11,-0.5,41,4.1,0.0,0.0,Winter,False,1,305,310,615,Freezing
84,2017-12-04,12,-0.3,38,4.8,0.0,0.0,Winter,False,1,141,147,288,Freezing
85,2017-12-04,13,0.0,30,5.4,0.0,0.0,Winter,False,1,250,388,638,Chilly
86,2017-12-04,14,0.1,27,4.5,0.0,0.0,Winter,False,1,303,191,494,Chilly
87,2017-12-04,15,-0.1,25,5.8,0.0,0.0,Winter,False,1,55,219,274,Freezing
88,2017-12-04,16,-0.2,23,4.7,0.0,0.0,Winter,False,1,271,48,319,Freezing
89,2017-12-04,17,-1.3,26,5.3,0.0,0.0,Winter,False,1,275,246,521,Freezing
90,2017-12-04,18,-2.1,29,3.9,0.0,0.0,Winter,False,1,506,752,1258,Freezing
91,2017-12-04,19,-2.9,32,3.2,0.0,0.0,Winter,False,1,202,93,295,Freezing
92,2017-12-04,20,-3.6,38,3.0,0.0,0.0,Winter,False,1,22,316,338,Freezing
93,2017-12-04,21,-4.6,43,4.5,0.0,0.0,Winter,False,1,279,57,336,Freezing
94,2017-12-04,22,-5.3,45,2.5,0.0,0.0,Winter,False,1,160,59,219,Freezing
95,2017-12-04,23,-5.8,44,2.4,0.0,0.0,Winter,False,1,62,38,100,Freezing
96,2017-12-05,0,-6.1,42,2.6,0.0,0.0,Winter,False,1,46,170,216,Freezing
97,2017-12-05,1,-6.5,41,2.8,0.0,0.0,Winter,False,1,50,85,135,Freezing
98,2017-12-05,2,-6.8,41,2.5,0.0,0.0,Winter,False,1,29,104,133,Freezing
99,2017-12-05,3,-6.9,39,2.0,0.0,0.0,Winter,False,1,39,8,47,Freezing
100,2017-12-05,4,-7.2,34,3.0,0.0,0.0,Winter,False,1,18,22,40,Freezing
101,2017-12-05,5,-7.4,33,2.6,0.0,0.0,Winter,False,1,55,37,92,Freezing
102,2017-12-05,6,-7.4,34,3.2,0.0,0.0,Winter,False,1,41,133,174,Freezing
103,2017-12-05,7,-7.5,33,2.2,0.0,0.0,Winter,False,1,152,342,494,Freezing
104,2017-12-05,8,-8.1,36,1.6,0.0,0.0,Winter,False,1,144,47,191,Freezing
105,2017-12-05,9,,31,1.3,0.0,0.0,Winter,False,1,78,235,313,
106,2017-12-05,10,-5.5,26,2.8,0.0,0.0,Winter,False,1,49,13,62,Freezing
107,2017-12-05,11,-3.9,25,0.0,0.0,0.0,Winter,False,1,241,174,415,Freezing
108,2017-12-05,12,-2.3,25,0.0,0.0,0.0,Winter,False,1,103,24,127,Freezing
109,2017-12-05,13,-1.6,27,0.0,0.0,0.0,Winter,False,1,220,9,229,Freezing
110,2017-12-05,14,-1.1,28,0.0,0.0,0.0,Winter,False,1,50,316,366,Freezing
111,2017-12-05,15,-0.7,28,0.0,0.0,0.0,Winter,False,1,111,270,381,Freezing
112,2017-12-05,16,-0.5,30,0.0,0.0,0.0,Winter,False,1,228,227,455,Freezing
113,2017-12-05,17,-1.6,35,0.0,0.0,0.0,Winter,False,1,188,81,269,Freezing
114,2017-12-05,18,-2.6,40,0.0,0.0,0.0,Winter,False,1,261,717,978,Freezing
115,2017-12-05,19,-3.2,45,0.0,0.0,0.0,Winter,False,1,10,150,160,Freezing
116,2017-12-05,20,-3.5,46,0.0,0.0,0.0,Winter,False,1,219,298,517,Freezing
117,2017-12-05,21,-3.7,47,0.0,0.0,0.0,Winter,False,1,196,114,310,Freezing
118,2017-12-05,22,-2.8,49,0.0,0.0,0.0,Winter,False,1,229,128,357,Freezing
119,2017-12-05,23,-2.5,59,0.0,0.0,0.0,Winter,False,1,10,107,117,Freezing
120,2017-12-06,0,-2.8,77,0.0,0.1,0.1,Winter,False,1,59,139,198,Freezing
121,2017-12-06,1,-3.0,79,0.0,0.0,0.3,Winter,False,1,29,26,55,Freezing
122,2017-12-06,2,-3.0,79,0.0,0.0,0.4,Winter,False,1,57,9,66,Freezing
123,2017-12-06,3,-3.2,78,0.0,0.2,0.4,Winter,False,1,32,3,35,Freezing
124,2017-12-06,4,-3.4,75,0.0,0.0,0.4,Winter,False,1,36,4,40,Freezing
125,2017-12-06,5,-3.6,76,0.0,0.0,0.4,Winter,False,1,71,66,137,Freezing
126,2017-12-06,6,-3.7,76,0.0,0.0,0.4,Winter,False,1,24,43,67,Freezing
127,2017-12-06,7,-4.2,77,0.0,0.0,0.3,Winter,False,1,325,184,509,Freezing
128,2017-12-06,8,-4.2,78,0.0,0.0,0.2,Winter,False,1,2,93,95,Freezing
129,2017-12-06,9,-3.3,70,0.0,0.0,0.2,Winter,False,1,202,227,429,Freezing
130,2017-12-06,10,-0.9,64,0.0,0.0,0.2,Winter,False,1,194,227,421,Freezing
131,2017-12-06,11,1.6,57,1.2,0.0,0.0,Winter,False,1,35,19,54,Chilly
132,2017-12-06,12,2.4,52,0.9,0.0,0.0,Winter,False,1,343,139,482,Chilly
133,2017-12-06,13,4.2,47,1.1,0.0,0.0,Winter,False,1,216,414,630,Chilly
134,2017-12-06,14,5.5,34,1.0,0.0,0.0,Winter,False,1,358,202,560,Chilly
135,2017-12-06,15,5.5,31,3.1,0.0,0.0,Winter,False,1,75,238,313,Chilly
136,2017-12-06,16,5.3,37,2.9,0.0,0.0,Winter,False,1,191,220,411,Chilly
137,2017-12-06,17,4.1,60,2.5,0.0,0.0,Winter,False,1,161,65,226,Chilly
138,2017-12-06,18,1.7,90,1.0,0.3,0.3,Winter,False,1,10,102,112,Chilly
139,2017-12-06,19,1.2,92,0.7,0.0,1.0,Winter,False,1,202,179,381,Chilly
140,2017-12-06,20,1.2,94,0.6,0.0,1.0,Winter,False,1,149,25,174,Chilly
141,2017-12-06,21,1.1,92,0.5,0.7,1.0,Winter,False,1,91,73,164,Chilly
142,2017-12-06,22,1.3,92,0.6,0.0,1.0,Winter,False,1,49,142,191,Chilly
143,2017-12-06,23,1.3,92,0.6,0.0,1.0,Winter,False,1,164,37,201,Chilly
144,2017-12-07,0,1.4,92,0.5,0.0,0.9,Winter,False,1,113,141,254,Chilly
145,2017-12-07,1,1.5,92,0.4,0.0,0.9,Winter,False,1,132,128,260,Chilly
146,2017-12-07,2,1.4,92,0.7,0.0,0.9,Winter,False,1,121,85,206,Chilly
147,2017-12-07,3,1.9,91,1.4,0.0,0.9,Winter,False,1,26,61,87,Chilly
148,2017-12-07,4,1.6,92,0.7,0.0,0.9,Winter,False,1,55,45,100,Chilly
149,2017-12-07,5,1.5,92,1.1,0.0,0.9,Winter,False,1,15,10,25,Chilly
150,2017-12-07,6,1.0,93,0.5,0.0,0.9,Winter,False,1,34,10,44,Chilly
151,2017-12-07,7,,93,0.5,0.0,0.9,Winter,False,1,140,129,269,
152,2017-12-07,8,-0.2,96,0.8,0.0,0.8,Winter,False,1,225,345,570,Freezing
153,2017-12-07,9,0.1,91,0.8,0.0,0.8,Winter,False,1,240,240,480,Chilly
154,2017-12-07,10,1.1,83,0.7,0.0,0.7,Winter,False,1,124,135,259,Chilly
155,2017-12-07,11,2.3,69,1.7,0.0,0.6,Winter,False,1,172,158,330,Chilly
156,2017-12-07,12,3.7,65,2.4,0.0,0.3,Winter,False,1,20,349,369,Chilly
157,2017-12-07,13,4.1,37,3.1,0.0,0.0,Winter,False,1,170,64,234,Chilly
158,2017-12-07,14,4.4,36,2.7,0.0,0.0,Winter,False,1,239,100,339,Chilly
159,2017-12-07,15,4.0,35,3.1,0.0,0.0,Winter,False,1,115,366,481,Chilly
160,2017-12-07,16,3.2,38,2.9,0.0,0.0,Winter,False,1,182,134,316,Chilly
161,2017-12-07,17,2.1,50,2.0,0.0,0.0,Winter,False,1,545,339,884,Chilly
162,2017-12-07,18,0.7,46,2.7,0.0,0.0,Winter,False,1,459,44,503,Chilly
163,2017-12-07,19,-0.4,47,2.5,0.0,0.0,Winter,False,1,219,33,252,Freezing
164,2017-12-07,20,-1.4,47,2.5,0.0,0.0,Winter,False,1,58,157,215,Freezing
165,2017-12-07,21,-2.2,46,2.2,0.0,0.0,Winter,False,1,103,226,329,Freezing
166,2017-12-07,22,-2.7,48,2.6,0.0,0.0,Winter,False,1,117,47,164,Freezing
167,2017-12-07,23,-3.2,50,2.1,0.0,0.0,Winter,False,1,193,135,328,Freezing
168,2017-12-08,0,-3.5,49,2.6,0.0,0.0,Winter,False,1,179,35,214,Freezing
169,2017-12-08,1,-3.7,50,2.5,0.0,0.0,Winter,False,1,31,143,174,Freezing
170,2017-12-08,2,-4.3,53,1.0,0.0,0.0,Winter,False,1,63,93,156,Freezing
171,2017-12-08,3,-4.8,52,1.6,0.0,0.0,Winter,False,1,80,66,146,Freezing
172,2017-12-08,4,-5.3,53,2.4,0.0,0.0,Winter,False,1,71,39,110,Freezing
173,2017-12-08,5,-5.8,56,2.0,0.0,0.0,Winter,False,1,74,77,151,Freezing
174,2017-12-08,6,-6.0,56,3.5,0.0,0.0,Winter,False,1,40,62,102,Freezing
175,2017-12-08,7,-6.5,57,0.8,0.0,0.0,Winter,False,1,38,162,200,Freezing
176,2017-12-08,8,-7.0,59,0.8,0.0,0.0,Winter,False,1,300,756,1056,Freezing
177,2017-12-08,9,-6.7,50,0.9,0.0,0.0,Winter,False,1,181,205,386,Freezing
178,2017-12-08,10,-5.3,44,2.8,0.0,0.0,Winter,False,1,155,254,409,Freezing
179,2017-12-08,11,-3.7,39,1.4,0.0,0.0,Winter,False,1,191,259,450,Freezing
180,2017-12-08,12,-2.0,30,1.4,0.0,0.0,Winter,False,1,136,175,311,Freezing
181,2017-12-08,13,-1.7,28,1.8,0.0,0.0,Winter,False,1,331,207,538,Freezing
182,2017-12-08,14,-1.3,27,3.1,0.0,0.0,Winter,False,1,108,302,410,Freezing
183,2017-12-08,15,-0.8,26,3.3,0.0,0.0,Winter,False,1,164,91,255,Freezing
184,2017-12-08,16,-1.1,24,3.4,0.0,0.0,Winter,False,1,67,383,450,Freezing
185,2017-12-08,17,-2.4,30,2.7,0.0,0.0,Winter,False,1,359,155,514,Freezing
186,2017-12-08,18,-3.1,33,1.2,0.0,0.0,Winter,False,1,511,249,760,Freezing
187,2017-12-08,19,,35,1.1,0.0,0.0,Winter,False,1,324,93,417,
188,2017-12-08,20,-3.3,34,1.5,0.0,0.0,Winter,False,1,335,269,604,Freezing
189,2017-12-08,21,-3.3,35,0.5,0.0,0.0,Winter,False,1,275,80,355,Freezing
190,2017-12-08,22,-3.4,39,1.2,0.0,0.0,Winter,False,1,281,127,408,Freezing
191,2017-12-08,23,-3.5,43,0.9,0.0,0.0,Winter,False,1,249,65,314,Freezing
192,2017-12-09,0,-3.5,48,0.9,0.0,0.0,Winter,False,1,148,239,387,Freezing
193,2017-12-09,1,-4.1,49,0.6,0.0,0.0,Winter,False,1,291,159,450,Freezing
194,2017-12-09,2,-4.7,50,0.7,0.0,0.0,Winter,False,1,89,193,282,Freezing
195,2017-12-09,3,-4.3,47,0.6,0.0,0.0,Winter,False,1,79,86,165,Freezing
196,2017-12-09,4,-4.3,49,0.7,0.0,0.0,Winter,False,1,89,16,105,Freezing
197,2017-12-09,5,-4.7,49,0.8,0.0,0.0,Winter,False,1,9,9,18,Freezing
198,2017-12-09,6,-5.1,53,0.9,0.0,0.0,Winter,False,1,68,28,96,Freezing
199,2017-12-09,7,-5.5,56,0.8,0.0,0.0,Winter,False,1,38,17,55,Freezing
200,2017-12-09,8,-5.4,56,0.7,0.0,0.0,Winter,False,1,51,154,205,Freezing
201,2017-12-09,9,-4.7,48,1.0,0.0,0.0,Winter,False,1,67,277,344,Freezing
202,2017-12-09,10,-2.2,42,1.3,0.0,0.0,Winter,False,1,77,27,104,Freezing
203,2017-12-09,11,0.0,45,1.1,0.0,0.0,Winter,False,1,203,306,509,Chilly
204,2017-12-09,12,2.4,40,0.8,0.0,0.0,Winter,False,1,281,322,603,Chilly
205,2017-12-09,13,3.9,36,2.0,0.0,0.0,Winter,False,1,332,16,348,Chilly
206,2017-12-09,14,4.7,32,2.2,0.0,0.0,Winter,False,1,49,11,60,Chilly
207,2017-12-09,15,5.2,30,2.0,0.0,0.0,Winter,False,1,533,101,634,Chilly
208,2017-12-09,16,4.4,33,1.6,0.0,0.0,Winter,False,1,539,106,645,Chilly
209,2017-12-09,17,3.5,37,1.8,0.0,0.0,Winter,False,1,375,390,765,Chilly
210,2017-12-09,18,2.5,41,1.0,0.0,0.0,Winter,False,1,250,105,355,Chilly
211,2017-12-09,19,1.5,48,0.4,0.0,0.0,Winter,False,1,35,37,72,Chilly
212,2017-12-09,20,0.8,51,1.4,0.0,0.0,Winter,False,1,121,183,304,Chilly
213,2017-12-09,21,-0.1,55,0.7,0.0,0.0,Winter,False,1,115,120,235,Freezing
214,2017-12-09,22,-0.5,55,0.6,0.0,0.0,Winter,False,1,30,59,89,Freezing
215,2017-12-09,23,-0.1,54,1.3,0.0,0.0,Winter,False,1,72,33,105,Freezing
216,2017-12-10,0,-0.2,55,1.0,0.0,0.0,Winter,False,1,255,138,393,Freezing
217,2017-12-10,1,-0.2,54,0.5,0.0,0.0,Winter,False,1,61,250,311,Freezing
218,2017-12-10,2,0.2,52,0.7,0.0,0.0,Winter,False,1,134,192,326,Chilly
219,2017-12-10,3,0.3,53,0.5,0.0,0.0,Winter,False,1,42,93,135,Chilly
220,2017-12-10,4,0.4,52,1.6,0.0,0.0,Winter,False,1,45,48,93,Chilly
221,2017-12-10,5,0.3,74,1.0,0.0,0.7,Winter,False,1,2,8,10,Chilly
222,2017-12-10,6,-0.5,90,0.9,2.5,2.7,Winter,False,1,9,3,12,Freezing
223,2017-12-10,7,-0.4,92,1.1,0.0,4.0,Winter,False,1,17,14,31,Freezing
224,2017-12-10,8,-0.2,90,1.2,0.0,4.1,Winter,False,1,34,6,40,Freezing
225,2017-12-10,9,0.2,90,1.0,1.6,4.3,Winter,False,1,14,28,42,Chilly
226,2017-12-10,10,0.5,91,0.4,0.0,4.3,Winter,False,1,4,14,18,Chilly
227,2017-12-10,11,0.9,92,0.9,0.0,3.9,Winter,False,1,5,43,48,Chilly
228,2017-12-10,12,2.3,88,0.3,0.0,3.1,Winter,False,1,54,72,126,Chilly
229,2017-12-10,13,3.3,87,1.1,0.0,2.1,Winter,False,1,32,100,132,Chilly
230,2017-12-10,14,4.2,85,0.7,0.0,1.4,Winter,False,1,194,118,312,Chilly
231,2017-12-10,15,6.7,63,4.5,0.0,1.0,Winter,False,1,14,11,25,Chilly
232,2017-12-10,16,5.4,71,3.5,0.0,0.5,Winter,False,1,171,55,226,Chilly
233,2017-12-10,17,3.6,65,4.3,0.0,0.4,Winter,False,1,118,10,128,Chilly
234,2017-12-10,18,2.0,61,3.0,0.0,0.0,Winter,False,1,132,162,294,Chilly
235,2017-12-10,19,1.6,53,4.0,0.0,0.0,Winter,False,1,151,82,233,Chilly
236,2017-12-10,20,0.6,57,3.9,0.0,0.0,Winter,False,1,94,22,116,Chilly
237,2017-12-10,21,0.0,59,3.0,0.0,0.0,Winter,False,1,99,93,192,Chilly
238,2017-12-10,22,-1.0,56,4.7,0.0,0.0,Winter,False,1,97,108,205,Freezing
239,2017-12-10,23,-1.4,43,4.3,0.0,0.0,Winter,False,1,3,21,24,Freezing
240,2017-12-11,0,-2.5,39,3.4,0.0,0.0,Winter,False,1,70,27,97,Freezing
241,2017-12-11,1,-3.4,36,3.8,0.0,0.0,Winter,False,1,39,4,43,Freezing
242,2017-12-11,2,-4.2,35,3.4,0.0,0.0,Winter,False,1,52,64,116,Freezing
243,2017-12-11,3,-4.7,38,2.4,0.0,0.0,Winter,False,1,18,9,27,Freezing
244,2017-12-11,4,-5.2,35,3.2,0.0,0.0,Winter,False,1,27,44,71,Freezing
245,2017-12-11,5,-5.6,38,3.2,0.0,0.0,Winter,False,1,52,1,53,Freezing
246,2017-12-11,6,-5.9,39,2.9,0.0,0.0,Winter,False,1,136,29,165,Freezing
247,2017-12-11,7,-6.0,39,3.1,0.0,0.0,Winter,False,1,99,216,315,Freezing
248,2017-12-11,8,-6.0,38,3.6,0.0,0.0,Winter,False,1,149,117,266,Freezing
249,2017-12-11,9,-5.9,36,5.1,0.0,0.0,Winter,False,1,168,181,349,Freezing
250,2017-12-11,10,-5.3,32,4.5,0.0,0.0,Winter,False,1,186,80,266,Freezing
251,2017-12-11,11,-4.7,36,3.8,0.0,0.0,Winter,False,1,154,6,160,Freezing
252,2017-12-11,12,-5.2,33,4.6,0.0,0.0,Winter,False,1,186,203,389,Freezing
253,2017-12-11,13,-5.4,32,5.1,0.0,0.0,Winter,False,1,163,90,253,Freezing
254,2017-12-11,14,-5.4,31,4.1,0.0,0.0,Winter,False,1,246,15,261,Freezing
255,2017-12-11,15,-5.5,33,4.5,0.0,0.0,Winter,False,1,169,262,431,Freezing
256,2017-12-11,16,-6.0,40,4.0,0.0,0.0,Winter,False,1,184,54,238,Freezing
257,2017-12-11,17,-7.1,44,4.2,0.0,0.0,Winter,False,1,356,331,687,Freezing
258,2017-12-11,18,-7.9,43,3.3,0.0,0.0,Winter,False,1,260,367,627,Freezing
259,2017-12-11,19,-8.6,45,3.9,0.0,0.0,Winter,False,1,189,184,373,Freezing
260,2017-12-11,20,-9.3,49,3.8,0.0,0.0,Winter,False,1,157,16,173,Freezing
261,2017-12-11,21,-9.7,51,2.5,0.0,0.0,Winter,False,1,66,31,97,Freezing
262,2017-12-11,22,-10.2,50,3.0,0.0,0.0,Winter,False,1,61,0,61,Freezing
263,2017-12-11,23,-10.7,53,1.2,0.0,0.0,Winter,False,1,73,149,222,Freezing
264,2017-12-12,0,-11.0,51,1.1,0.0,0.0,Winter,False,1,51,53,104,Freezing
265,2017-12-12,1,-11.2,51,1.1,0.0,0.0,Winter,False,1,81,34,115,Freezing
266,2017-12-12,2,-11.5,50,0.7,0.0,0.0,Winter,False,1,88,59,147,Freezing
267,2017-12-12,3,-11.6,50,2.2,0.0,0.0,Winter,False,1,11,36,47,Freezing
268,2017-12-12,4,-11.6,47,2.1,0.0,0.0,Winter,False,1,2,11,13,Freezing
269,2017-12-12,5,-11.6,45,2.8,0.0,0.0,Winter,False,1,50,59,109,Freezing
270,2017-12-12,6,-11.8,47,2.5,0.0,0.0,Winter,False,1,96,72,168,Freezing
271,2017-12-12,7,-12.1,50,2.3,0.0,0.0,Winter,False,1,167,38,205,Freezing
272,2017-12-12,8,-12.3,52,1.3,0.0,0.0,Winter,False,1,105,554,659,Freezing
273,2017-12-12,9,-11.8,46,2.9,0.0,0.0,Winter,False,1,132,75,207,Freezing
274,2017-12-12,10,-10.5,45,3.3,0.0,0.0,Winter,False,1,184,41,225,Freezing
275,2017-12-12,11,-9.4,42,3.1,0.0,0.0,Winter,False,1,66,2,68,Freezing
276,2017-12-12,12,-8.3,35,2.9,0.0,0.0,Winter,False,1,88,207,295,Freezing
277,2017-12-12,13,-6.9,37,2.4,0.0,0.0,Winter,False,1,38,110,148,Freezing
278,2017-12-12,14,-5.4,32,2.0,0.0,0.0,Winter,False,1,96,205,301,Freezing
279,2017-12-12,15,-5.8,30,2.8,0.0,0.0,Winter,False,1,85,18,103,Freezing
280,2017-12-12,16,-6.0,29,2.8,0.0,0.0,Winter,False,1,232,64,296,Freezing
281,2017-12-12,17,-7.0,32,2.6,0.0,0.0,Winter,False,1,71,223,294,Freezing
282,2017-12-12,18,-7.7,36,1.0,0.0,0.0,Winter,False,1,235,24,259,Freezing
283,2017-12-12,19,-8.2,43,1.1,0.0,0.0,Winter,False,1,49,186,235,Freezing
284,2017-12-12,20,-8.4,42,1.0,0.0,0.0,Winter,False,1,259,131,390,Freezing
