state,law,veto,congress,justices,pki,pk
KY,1,0,0,0,0.25,0.631578947368421
WI,1,1,1,1,1.0,0.7091346153846154
OH,1,1,1,1,1.0,0.6855828220858896
WA,1,1,1,1,1.0,0.7172619047619048
MT,0,0,1,1,0.5,0.7361111111111112
OH,1,1,0,1,0.75,0.6855828220858896
KY,1,1,1,1,1.0,0.631578947368421
KS,0,1,1,1,0.75,0.75
MI,1,1,1,1,1.0,0.7061068702290076
CA,1,1,1,1,1.0,0.7258566978193146
PA,1,0,0,1,0.5,0.6622222222222223
WV,1,0,0,0,0.25,0.6484375
IA,1,0,1,0,0.5,0.6938775510204082
IN,1,1,1,1,1.0,0.6658415841584159
OH,1,1,0,1,0.75,0.6855828220858896
VA,1,1,1,1,1.0,0.7158119658119658
IL,1,0,1,1,0.75,0.6966911764705882
CA,1,1,1,1,1.0,0.7258566978193146
GA,0,0,0,0,0.0,0.6039603960396039
MD,0,0,1,1,0.5,0.7225274725274725
VA,0,0,1,1,0.5,0.7158119658119658
MD,0,0,0,0,0.0,0.7225274725274725
TX,1,0,0,1,0.5,0.6930051813471503
OH,1,1,1,1,1.0,0.6855828220858896
TN,1,1,1,1,1.0,0.6728723404255319
MN,1,0,1,1,0.75,0.7476190476190476
MT,1,0,0,0,0.25,0.7361111111111112
MN,1,0,1,1,0.75,0.7476190476190476
WA,1,1,1,1,1.0,0.7172619047619048
CA,0,0,0,0,0.0,0.7258566978193146
IN,1,1,1,1,1.0,0.6658415841584159
TX,1,1,1,0,0.75,0.6930051813471503
OH,0,1,1,1,0.75,0.6855828220858896
TX,1,0,0,0,0.25,0.6930051813471503
FL,1,1,1,1,1.0,0.680628272251309
NY,1,1,1,1,1.0,0.7316810344827587
PA,1,1,1,1,1.0,0.6622222222222223
MN,1,0,1,1,0.75,0.7476190476190476
WV,0,0,0,1,0.25,0.6484375
OH,1,0,1,1,0.75,0.6855828220858896
NE,1,1,1,1,1.0,0.65625
MO,0,0,0,1,0.25,0.7005208333333334
CA,1,0,1,1,0.75,0.7258566978193146
MO,0,0,0,1,0.25,0.7005208333333334
MS,0,0,0,0,0.0,0.6370967741935484
NC,1,0,0,0,0.25,0.6365384615384615
MO,1,0,0,0,0.25,0.7005208333333334
IN,1,1,1,1,1.0,0.6658415841584159
IA,0,0,1,1,0.5,0.6938775510204082
NY,1,0,0,1,0.5,0.7316810344827587
IL,0,0,1,1,0.5,0.6966911764705882
PA,1,1,1,1,1.0,0.6622222222222223
TN,1,0,1,0,0.5,0.6728723404255319
VA,1,1,1,1,1.0,0.7158119658119658
AL,1,1,1,1,1.0,0.6111111111111112
IL,1,1,1,1,1.0,0.6966911764705882
NC,1,0,1,1,0.75,0.6365384615384615
MI,1,1,1,1,1.0,0.7061068702290076
NE,1,1,0,1,0.75,0.65625
OR,1,0,1,1,0.75,0.6610169491525424
CO,1,0,1,1,0.75,0.7090163934426229
NY,1,0,0,1,0.5,0.7316810344827587
KY,1,0,1,0,0.5,0.631578947368421
PA,1,0,1,0,0.5,0.6622222222222223
WI,1,1,1,1,1.0,0.7091346153846154
PA,0,0,0,0,0.0,0.6622222222222223
CO,0,0,0,1,0.25,0.7090163934426229
CA,1,1,1,1,1.0,0.7258566978193146
WV,1,1,1,1,1.0,0.6484375
MD,1,0,1,1,0.75,0.7225274725274725
CA,1,1,1,1,1.0,0.7258566978193146
CA,1,1,1,1,1.0,0.7258566978193146
TX,0,1,1,1,0.75,0.6930051813471503
IL,1,0,0,0,0.25,0.6966911764705882
MI,1,0,0,1,0.5,0.7061068702290076
IL,0,1,0,1,0.5,0.6966911764705882
CA,0,0,1,0,0.25,0.7258566978193146
MN,0,1,1,1,0.75,0.7476190476190476
ME,1,0,1,1,0.75,0.8484848484848485
MI,1,0,0,1,0.5,0.7061068702290076
MO,1,1,0,1,0.75,0.7005208333333334
OK,1,0,1,1,0.75,0.6363636363636364
CT,1,1,1,1,1.0,0.7205882352941176
MS,1,0,1,1,0.75,0.6370967741935484
MO,0,0,1,1,0.5,0.7005208333333334
WA,1,1,1,1,1.0,0.7172619047619048
FL,1,0,1,1,0.75,0.680628272251309
TX,1,0,1,1,0.75,0.6930051813471503
PA,1,0,1,1,0.75,0.6622222222222223
OH,0,1,1,1,0.75,0.6855828220858896
MD,0,0,1,1,0.5,0.7225274725274725
PA,1,0,0,0,0.25,0.6622222222222223
ID,1,0,1,1,0.75,0.6578947368421053
AR,0,0,1,1,0.5,0.6214285714285714
OK,0,0,0,0,0.0,0.6363636363636364
MD,0,1,0,0,0.25,0.7225274725274725
NY,1,0,1,1,0.75,0.7316810344827587
TX,1,1,1,1,1.0,0.6930051813471503
NY,0,1,1,1,0.75,0.7316810344827587
KY,1,0,0,1,0.5,0.631578947368421
MS,0,0,1,1,0.5,0.6370967741935484
WI,1,0,1,1,0.75,0.7091346153846154
TX,1,1,1,1,1.0,0.6930051813471503
VA,1,1,1,1,1.0,0.7158119658119658
NC,1,0,1,1,0.75,0.6365384615384615
OK,0,0,0,0,0.0,0.6363636363636364
DC,1,1,1,1,1.0,0.625
MO,1,0,0,1,0.5,0.7005208333333334
OH,0,1,1,1,0.75,0.6855828220858896
AL,1,1,1,1,1.0,0.6111111111111112
GA,1,0,1,1,0.75,0.6039603960396039
NC,1,1,1,1,1.0,0.6365384615384615
CO,1,1,0,1,0.75,0.7090163934426229
NJ,1,1,0,1,0.75,0.7
FL,0,0,0,0,0.0,0.680628272251309
TX,0,0,0,0,0.0,0.6930051813471503
NY,1,0,0,1,0.5,0.7316810344827587
MD,0,1,1,1,0.75,0.7225274725274725
PA,0,1,0,1,0.5,0.6622222222222223
NH,1,1,1,1,1.0,0.7045454545454546
TX,1,0,0,1,0.5,0.6930051813471503
FL,1,1,1,1,1.0,0.680628272251309
NC,0,0,0,0,0.0,0.6365384615384615
WI,1,1,0,0,0.5,0.7091346153846154
OH,1,0,1,0,0.5,0.6855828220858896
VA,1,1,1,1,1.0,0.7158119658119658
MN,1,0,1,1,0.75,0.7476190476190476
NY,0,1,1,1,0.75,0.7316810344827587
OR,1,1,0,1,0.75,0.6610169491525424
VA,1,1,1,1,1.0,0.7158119658119658
IL,1,0,1,1,0.75,0.6966911764705882
OH,1,0,1,1,0.75,0.6855828220858896
TX,1,0,1,1,0.75,0.6930051813471503
IN,1,1,1,1,1.0,0.6658415841584159
NY,1,1,1,1,1.0,0.7316810344827587
AL,1,0,1,1,0.75,0.6111111111111112
NE,0,0,1,1,0.5,0.65625
PA,1,0,1,1,0.75,0.6622222222222223
IL,1,1,1,1,1.0,0.6966911764705882
CA,1,1,1,1,1.0,0.7258566978193146
DC,0,0,0,0,0.0,0.625
PA,1,1,1,1,1.0,0.6622222222222223
TX,0,0,0,0,0.0,0.6930051813471503
NY,1,0,1,1,0.75,0.7316810344827587
VA,0,0,1,1,0.5,0.7158119658119658
MI,0,0,1,1,0.5,0.7061068702290076
MA,1,1,0,1,0.75,0.7105263157894737
IN,0,0,0,1,0.25,0.6658415841584159
OH,1,1,1,1,1.0,0.6855828220858896
WI,1,1,1,1,1.0,0.7091346153846154
MO,0,0,0,1,0.25,0.7005208333333334
NY,1,0,1,1,0.75,0.7316810344827587
GA,1,0,1,1,0.75,0.6039603960396039
TX,1,1,1,1,1.0,0.6930051813471503
PA,0,0,1,1,0.5,0.6622222222222223
CA,1,1,1,1,1.0,0.7258566978193146
CA,1,1,1,1,1.0,0.7258566978193146
MA,1,0,0,1,0.5,0.7105263157894737
DC,0,0,0,0,0.0,0.625
CA,1,1,1,1,1.0,0.7258566978193146
OH,1,1,0,1,0.75,0.6855828220858896
MN,1,0,1,1,0.75,0.7476190476190476
IA,1,1,1,1,1.0,0.6938775510204082
PA,1,1,1,1,1.0,0.6622222222222223
VA,1,1,1,1,1.0,0.7158119658119658
OH,1,1,1,1,1.0,0.6855828220858896
NJ,1,1,0,1,0.75,0.7
VA,1,1,0,1,0.75,0.7158119658119658
NY,0,1,0,1,0.5,0.7316810344827587
OH,1,1,1,1,1.0,0.6855828220858896
MD,1,1,1,1,1.0,0.7225274725274725
CO,1,0,0,1,0.5,0.7090163934426229
NC,1,0,0,1,0.5,0.6365384615384615
CA,1,0,1,0,0.5,0.7258566978193146
OH,1,0,1,1,0.75,0.6855828220858896
OH,1,0,1,1,0.75,0.6855828220858896
AL,1,0,1,1,0.75,0.6111111111111112
WI,1,1,1,1,1.0,0.7091346153846154
TX,1,0,1,1,0.75,0.6930051813471503
TX,1,0,0,1,0.5,0.6930051813471503
IA,1,0,1,1,0.75,0.6938775510204082
TX,1,1,1,1,1.0,0.6930051813471503
CA,1,0,1,1,0.75,0.7258566978193146
PA,1,1,0,1,0.75,0.6622222222222223
MI,0,0,0,0,0.0,0.7061068702290076
TX,1,1,1,1,1.0,0.6930051813471503
TX,1,0,0,1,0.5,0.6930051813471503
WI,1,0,1,1,0.75,0.7091346153846154
OH,1,0,0,1,0.5,0.6855828220858896
NC,1,0,1,1,0.75,0.6365384615384615
WY,0,1,1,1,0.75,0.75
CT,0,0,1,1,0.5,0.7205882352941176
MA,0,0,0,1,0.25,0.7105263157894737
WY,1,1,1,1,1.0,0.75
AZ,1,0,1,1,0.75,0.7268518518518519
OH,0,0,0,1,0.25,0.6855828220858896
IN,1,1,1,1,1.0,0.6658415841584159
TX,1,0,1,1,0.75,0.6930051813471503
NY,1,1,1,1,1.0,0.7316810344827587
TN,1,1,0,1,0.75,0.6728723404255319
MI,1,0,0,0,0.25,0.7061068702290076
WV,1,1,1,1,1.0,0.6484375
PA,0,1,1,1,0.75,0.6622222222222223
MI,1,0,0,1,0.5,0.7061068702290076
AL,0,0,0,1,0.25,0.6111111111111112
TX,1,0,0,0,0.25,0.6930051813471503
PA,1,0,1,1,0.75,0.6622222222222223
AL,1,0,1,1,0.75,0.6111111111111112
KY,1,0,1,1,0.75,0.631578947368421
FL,1,1,1,1,1.0,0.680628272251309
NJ,1,0,0,1,0.5,0.7
NE,1,1,1,1,1.0,0.65625
KY,1,1,1,1,1.0,0.631578947368421
FL,1,1,0,1,0.75,0.680628272251309
WI,1,0,0,0,0.25,0.7091346153846154
TX,1,0,1,1,0.75,0.6930051813471503
AL,1,1,1,1,1.0,0.6111111111111112
IN,1,1,1,1,1.0,0.6658415841584159
CA,1,0,1,1,0.75,0.7258566978193146
MA,1,1,1,1,1.0,0.7105263157894737
CA,1,0,0,1,0.5,0.7258566978193146
AL,0,0,1,1,0.5,0.6111111111111112
PA,1,0,1,0,0.5,0.6622222222222223
VA,1,0,1,0,0.5,0.7158119658119658
TX,1,1,1,1,1.0,0.6930051813471503
CA,1,0,1,1,0.75,0.7258566978193146
NJ,1,0,0,0,0.25,0.7
NY,1,1,1,1,1.0,0.7316810344827587
RI,1,1,1,1,1.0,0.7282608695652174
IA,1,1,1,1,1.0,0.6938775510204082
IL,1,1,1,1,1.0,0.6966911764705882
AR,1,1,1,1,1.0,0.6214285714285714
RI,1,1,0,1,0.75,0.7282608695652174
NY,1,1,1,1,1.0,0.7316810344827587
NE,1,1,0,1,0.75,0.65625
VA,0,1,1,0,0.5,0.7158119658119658
FL,1,0,0,0,0.25,0.680628272251309
OH,1,0,1,1,0.75,0.6855828220858896
MO,1,1,1,1,1.0,0.7005208333333334
PA,1,1,1,1,1.0,0.6622222222222223
CA,0,0,0,1,0.25,0.7258566978193146
NY,0,0,0,0,0.0,0.7316810344827587
NJ,1,0,1,1,0.75,0.7
SC,1,1,1,1,1.0,0.7067307692307693
KY,1,0,0,1,0.5,0.631578947368421
CA,1,1,1,1,1.0,0.7258566978193146
CO,1,1,1,0,0.75,0.7090163934426229
CA,0,0,1,1,0.5,0.7258566978193146
NY,1,1,0,1,0.75,0.7316810344827587
SC,1,0,1,0,0.5,0.7067307692307693
TX,0,0,0,0,0.0,0.6930051813471503
AR,1,0,0,0,0.25,0.6214285714285714
MN,0,1,0,1,0.5,0.7476190476190476
MO,0,1,1,1,0.75,0.7005208333333334
CT,1,0,1,1,0.75,0.7205882352941176
NV,1,1,1,1,1.0,0.7666666666666667
MI,0,0,1,1,0.5,0.7061068702290076
AL,0,0,1,0,0.25,0.6111111111111112
MA,1,0,0,0,0.25,0.7105263157894737
VA,1,1,0,1,0.75,0.7158119658119658
KS,1,1,0,1,0.75,0.75
PA,1,1,1,1,1.0,0.6622222222222223
LA,1,0,1,1,0.75,0.6217948717948718
NV,1,1,1,1,1.0,0.7666666666666667
OH,1,1,1,1,1.0,0.6855828220858896
SC,0,0,0,0,0.0,0.7067307692307693
CA,0,0,0,0,0.0,0.7258566978193146
TX,1,1,1,1,1.0,0.6930051813471503
IN,1,1,1,1,1.0,0.6658415841584159
OR,1,1,1,1,1.0,0.6610169491525424
ND,1,1,1,1,1.0,0.6944444444444444
NY,1,1,1,0,0.75,0.7316810344827587
AL,1,0,0,1,0.5,0.6111111111111112
NE,1,0,1,1,0.75,0.65625
TN,1,0,0,0,0.25,0.6728723404255319
CA,1,1,1,1,1.0,0.7258566978193146
IL,0,0,0,1,0.25,0.6966911764705882
NC,1,1,0,1,0.75,0.6365384615384615
VA,1,0,1,1,0.75,0.7158119658119658
NC,0,0,1,1,0.5,0.6365384615384615
OH,1,1,1,1,1.0,0.6855828220858896
TX,1,1,1,1,1.0,0.6930051813471503
NY,0,1,1,0,0.5,0.7316810344827587
IL,1,1,1,1,1.0,0.6966911764705882
WI,1,1,1,1,1.0,0.7091346153846154
TN,0,0,0,0,0.0,0.6728723404255319
ID,0,0,0,0,0.0,0.6578947368421053
PA,1,0,1,0,0.5,0.6622222222222223
MO,1,1,1,1,1.0,0.7005208333333334
WA,1,0,1,1,0.75,0.7172619047619048
MD,0,0,0,0,0.0,0.7225274725274725
OH,0,1,1,1,0.75,0.6855828220858896
TX,1,0,1,1,0.75,0.6930051813471503
KS,1,0,1,1,0.75,0.75
MO,1,1,1,1,1.0,0.7005208333333334
MD,1,0,0,1,0.5,0.7225274725274725
CA,1,1,1,1,1.0,0.7258566978193146
AZ,1,0,1,1,0.75,0.7268518518518519
TX,1,1,1,1,1.0,0.6930051813471503
OR,1,0,0,1,0.5,0.6610169491525424
IA,1,1,1,1,1.0,0.6938775510204082
PA,1,1,1,1,1.0,0.6622222222222223
NY,1,1,1,1,1.0,0.7316810344827587
NY,0,0,0,0,0.0,0.7316810344827587
CA,0,0,1,1,0.5,0.7258566978193146
VA,1,0,1,1,0.75,0.7158119658119658
NY,1,0,1,1,0.75,0.7316810344827587
TX,0,1,0,1,0.5,0.6930051813471503
NC,0,0,0,0,0.0,0.6365384615384615
FL,1,0,1,0,0.5,0.680628272251309
NY,1,0,0,1,0.5,0.7316810344827587
MI,1,1,0,1,0.75,0.7061068702290076
WA,0,1,1,1,0.75,0.7172619047619048
OR,1,0,1,1,0.75,0.6610169491525424
PA,1,0,1,1,0.75,0.6622222222222223
NC,1,1,1,1,1.0,0.6365384615384615
CA,1,0,1,0,0.5,0.7258566978193146
TX,1,1,1,1,1.0,0.6930051813471503
IN,1,1,0,1,0.75,0.6658415841584159
NY,1,1,1,1,1.0,0.7316810344827587
NY,1,0,1,1,0.75,0.7316810344827587
FL,1,0,1,1,0.75,0.680628272251309
CA,1,1,1,0,0.75,0.7258566978193146
OR,0,0,0,1,0.25,0.6610169491525424
MA,0,0,1,1,0.5,0.7105263157894737
PA,1,0,1,1,0.75,0.6622222222222223
NY,1,0,1,1,0.75,0.7316810344827587
MT,1,1,1,1,1.0,0.7361111111111112
OH,0,0,1,1,0.5,0.6855828220858896
NM,0,1,1,1,0.75,0.6944444444444444
MD,0,1,1,1,0.75,0.7225274725274725
MA,0,0,1,1,0.5,0.7105263157894737
NY,1,0,0,0,0.25,0.7316810344827587
IN,0,0,1,1,0.5,0.6658415841584159
IL,0,0,1,1,0.5,0.6966911764705882
MD,0,0,0,0,0.0,0.7225274725274725
GA,1,0,1,1,0.75,0.6039603960396039
WI,1,0,0,1,0.5,0.7091346153846154
CA,1,1,1,1,1.0,0.7258566978193146
OH,1,0,1,1,0.75,0.6855828220858896
IL,1,1,1,1,1.0,0.6966911764705882
NM,1,0,1,0,0.5,0.6944444444444444
OH,1,0,1,1,0.75,0.6855828220858896
AZ,1,0,0,1,0.5,0.7268518518518519
NC,1,0,0,1,0.5,0.6365384615384615
ND,1,0,0,0,0.25,0.6944444444444444
WI,1,1,1,1,1.0,0.7091346153846154
KS,1,0,1,1,0.75,0.75
CA,1,1,1,1,1.0,0.7258566978193146
OH,0,0,0,1,0.25,0.6855828220858896
TX,1,1,1,1,1.0,0.6930051813471503
TN,0,1,1,1,0.75,0.6728723404255319
GA,1,1,0,1,0.75,0.6039603960396039
NY,0,0,0,1,0.25,0.7316810344827587
NC,1,1,1,1,1.0,0.6365384615384615
MA,1,1,1,1,1.0,0.7105263157894737
MN,1,0,0,1,0.5,0.7476190476190476
MN,1,1,0,1,0.75,0.7476190476190476
TX,0,0,1,1,0.5,0.6930051813471503
OR,1,1,1,1,1.0,0.6610169491525424
FL,1,1,1,1,1.0,0.680628272251309
AR,1,0,1,1,0.75,0.6214285714285714
WI,0,0,0,1,0.25,0.7091346153846154
NY,1,1,1,1,1.0,0.7316810344827587
MO,0,0,0,1,0.25,0.7005208333333334
IA,1,1,1,1,1.0,0.6938775510204082
CA,1,1,1,1,1.0,0.7258566978193146
MD,0,1,1,1,0.75,0.7225274725274725
MN,1,1,1,1,1.0,0.7476190476190476
OK,1,1,1,1,1.0,0.6363636363636364
WI,1,1,1,1,1.0,0.7091346153846154
UT,1,1,1,1,1.0,0.756578947368421
ME,1,1,1,1,1.0,0.8484848484848485
OH,1,1,1,1,1.0,0.6855828220858896
KY,1,1,1,1,1.0,0.631578947368421
PA,1,1,1,1,1.0,0.6622222222222223
PA,0,0,1,1,0.5,0.6622222222222223
IN,1,1,0,1,0.75,0.6658415841584159
TX,1,0,1,0,0.5,0.6930051813471503
MI,1,1,1,1,1.0,0.7061068702290076
WV,1,0,1,1,0.75,0.6484375
OH,1,0,1,1,0.75,0.6855828220858896
PA,0,0,0,0,0.0,0.6622222222222223
MN,0,0,0,1,0.25,0.7476190476190476
NM,1,1,1,1,1.0,0.6944444444444444
NV,1,1,1,1,1.0,0.7666666666666667
TX,1,1,1,1,1.0,0.6930051813471503
OH,0,0,1,1,0.5,0.6855828220858896
GA,1,0,1,1,0.75,0.6039603960396039
TX,1,1,1,1,1.0,0.6930051813471503
KS,1,0,0,0,0.25,0.75
TN,0,0,1,1,0.5,0.6728723404255319
CA,0,1,0,0,0.25,0.7258566978193146
MI,1,1,1,0,0.75,0.7061068702290076
NV,1,0,1,1,0.75,0.7666666666666667
WA,1,1,1,1,1.0,0.7172619047619048
NC,1,1,1,1,1.0,0.6365384615384615
MA,0,1,0,1,0.5,0.7105263157894737
IL,1,0,1,1,0.75,0.6966911764705882
AZ,1,0,1,1,0.75,0.7268518518518519
MI,1,1,1,1,1.0,0.7061068702290076
MT,1,1,1,1,1.0,0.7361111111111112
PA,1,1,1,1,1.0,0.6622222222222223
VA,1,0,1,1,0.75,0.7158119658119658
IL,1,1,1,1,1.0,0.6966911764705882
MO,1,0,0,1,0.5,0.7005208333333334
CA,0,1,1,0,0.5,0.7258566978193146
OH,1,0,1,1,0.75,0.6855828220858896
VA,1,1,1,1,1.0,0.7158119658119658
MO,1,1,1,1,1.0,0.7005208333333334
KS,1,1,1,1,1.0,0.75
NJ,0,0,1,0,0.25,0.7
NC,0,1,0,1,0.5,0.6365384615384615
VA,0,0,0,0,0.0,0.7158119658119658
NJ,1,1,1,1,1.0,0.7
CT,1,0,1,1,0.75,0.7205882352941176
NE,1,1,1,1,1.0,0.65625
OH,1,1,0,1,0.75,0.6855828220858896
ME,1,1,1,1,1.0,0.8484848484848485
WI,1,1,1,1,1.0,0.7091346153846154
PA,1,1,1,1,1.0,0.6622222222222223
PA,1,1,1,1,1.0,0.6622222222222223
MN,1,0,1,1,0.75,0.7476190476190476
AL,1,0,1,1,0.75,0.6111111111111112
MN,0,1,1,0,0.5,0.7476190476190476
IN,1,1,1,1,1.0,0.6658415841584159
MD,1,1,1,1,1.0,0.7225274725274725
KY,1,0,1,1,0.75,0.631578947368421
PA,1,1,1,0,0.75,0.6622222222222223
OR,1,0,1,1,0.75,0.6610169491525424
MO,1,1,1,1,1.0,0.7005208333333334
WA,0,0,1,1,0.5,0.7172619047619048
OH,1,1,1,1,1.0,0.6855828220858896
OH,0,0,0,0,0.0,0.6855828220858896
NC,0,0,1,0,0.25,0.6365384615384615
IA,1,1,1,1,1.0,0.6938775510204082
MO,1,1,1,1,1.0,0.7005208333333334
IN,1,0,0,0,0.25,0.6658415841584159
WI,1,0,1,1,0.75,0.7091346153846154
OK,0,0,0,0,0.0,0.6363636363636364
WA,1,0,1,1,0.75,0.7172619047619048
WA,1,0,0,0,0.25,0.7172619047619048
CA,1,0,0,1,0.5,0.7258566978193146
WV,1,0,1,1,0.75,0.6484375
KY,1,1,1,1,1.0,0.631578947368421
PA,1,1,1,1,1.0,0.6622222222222223
FL,1,1,1,1,1.0,0.680628272251309
PA,1,1,1,1,1.0,0.6622222222222223
VA,1,1,1,1,1.0,0.7158119658119658
MN,0,1,1,1,0.75,0.7476190476190476
CA,1,1,0,1,0.75,0.7258566978193146
IN,0,0,1,1,0.5,0.6658415841584159
FL,0,1,0,0,0.25,0.680628272251309
CA,1,1,1,0,0.75,0.7258566978193146
MI,1,0,1,1,0.75,0.7061068702290076
CA,1,1,1,1,1.0,0.7258566978193146
WV,0,0,1,1,0.5,0.6484375
MD,0,0,0,0,0.0,0.7225274725274725
TN,1,1,1,1,1.0,0.6728723404255319
NJ,1,1,1,1,1.0,0.7
